language;category
Python;Automação, ciência de dados, machine learning, back-end web.
JavaScript (JS);Front-end web, back-end web (com Node.js), desenvolvimento mobile (com React Native).
Java;Desenvolvimento Android, sistemas corporativos, back-end de grandes aplicações.
C#;Desenvolvimento de jogos (Unity), aplicações Windows, back-end (com .NET).
PHP;Back-end web, sistemas de gerenciamento de conteúdo.
C/C++;Sistemas operacionais, jogos de alto desempenho, software embarcado.
Kotlin;Desenvolvimento nativo Android.
Swift;Desenvolvimento nativo iOS.
R;Análise estatística, visualização de dados.
SQL;Gerenciamento e consulta de bancos de dados.
Dart;Desenvolvimento mobile (com Flutter).
Shell Script;Automação de tarefas de sistema.
Lua;Desenvolvimento de jogos
